"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"tx","20/SVPS","[20.018]","","","","SVPS","Scanned Vertical Pixel Scale","D","N","1","5","0","1","","","Data","","","","","","","","","","","","","","","Y","","Vertical pixel density used for scanning the original image/impression or vertical component of pixel aspect ratio.  This field is used if the transmission pixel scale differs from the original image scale. ","Optional if a 2D still image is contained in this instance of the record. Otherwise, it shall be omitted.  Permissible values dependent on 20/SLC; if SLC={1,2}, then SHPS shall equal SVPS","<biom:CaptureVerticalPixelDensityValue>500</biom:CaptureVerticalPixelDensityValue>","biom:CaptureVerticalPixelDensityValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureVerticalPixelDensityValue","","","","",""
"tx","20/TIX","[20.019]","SET","2","","TIX","Time Index","D","","","","0","99","","","Set","","","","","","","","","","","Y","","","","","","Start and end times of video/audio segments within the file.","Field is not used if 20/AQS/AQT is 1..6 or 11.","","biom:TimeSegment","http://niem.gov/niem/biometrics/1.0","biom:TimeSegmentType","if [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:TimeSegment
else
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:TimeSegment
endif","","XML lists this field as mandatory, however, it would only be present if the biometric was a 2D still image.","","",""
"tx","20/TIX/TIS","[20.019-A]","A","","","TIS","Time Index Start","M^","NS","12","12","1","1","[:.]","","Data","","","","","","","","","","","","","","","","","Start time (must be greater than the zero time index, which should be clearly indicated on the source unless it is the absolute beginning of the file).","","<biom:TimeSegmentStartTimeValue>10:34:00.000</biom:TimeSegmentStartTimeValue>","biom:TimeSegmentStartTimeValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","if [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:TimeSegment/biom:TimeSegmentStartTimeValue
else
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:TimeSegment/biom:TimeSegmentStartTimeValue
endif","","","","",""
"tx","20/TIX/TIE","[20.019-B]","B","","","TIE","Time Index End","M^","NS","12","12","1","1","[:.]","","Data","","","","","","","","","","","","","",">[20/TIX/TIS]","","","End time.","","<biom:TimeSegmentEndTimeValue>11:55:33.000</biom:TimeSegmentEndTimeValue>","biom:TimeSegmentEndTimeValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","if [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:TimeSegment/biom:TimeSegmentEndTimeValue
else
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:TimeSegment/biom:TimeSegmentEndTimeValue
endif","","","","",""
"tx","20/COM","[20.020]","","","","COM","Comment","O","U","1","126","0","1","","","Data","","","","","","","","","","","","","","","","","Free text information. It is not reserved exclusively for log-related information but has historically often been used for this purpose.","","<biom:SourceCommentText>Comment</biom:SourceCommentText>","biom:SourceCommentText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageSourceRepresentationRecord/biom:SourceCommentText","","","","",""
"TX","20/SRN","[20.021]","","","","SRN","Source Representation Number","M","N","1","3","1","1","","","Data","","","{1}","","","","","","","","","","","","","","Reference number for the source representation stored in this record. It is an integer, numbered sequentially beginning at one and incremented for each instance of Record Type-20.","","<nc:IdentificationID>8</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageSourceRepresentationRecord/biom:SourceIdentification/nc:IdentificationID","","","","",""
"tx","20/UDF","[20.100_20.900]","","","","UDF","User-Defined Fields","O","","","","0","*","","","Set","","","","","","","","","","","","","","","","","The size and content of these fields shall be defined by the user and be in accordance with the receiving agency. ","","","itl:UserDefinedFields","http://biometrics.nist.gov/standard/2011","","itl:PackageSourceRepresentationRecord/itl:UserDefinedFields","This element is abstract and must be substituted with a user-defined element. Applies to fields 20.200-20.900.","","","",""
"tx","20/ANN","[20.902]","SET","4","","ANN","Annotation Information","O","","","","0","*","","","Set","","","","","","","","","","","","","","","","","Lists the operations performed on the original image source.","","","biom:ProcessAnnotation","http://niem.gov/niem/biometrics/1.0","biom:ProcessAnnotationType","itl:PackageSourceRepresentationRecord/biom:ProcessAnnotation","","","","",""
"T","20/ANN/GMT:T","[20.902-A:T]","A","","","GMT","Greenwich Mean Time","M^","AN","15","15","1","1","","","Data_T","","","","\d{14}Z","","","","","","","","","","","","","Date and time when processing occurred.","","20111105052500Z","","","","","","","","",""
"x","20/ANN/GMT:X","[20.902-A:X]","A","","","GMT","Greenwich Mean Time (XML)","M^","ANS","20","20","1","1","[-:]","","Data_X","","","","\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z","","","","","","","","","","","","","Date and time when processing occurred.","","<nc:DateTime>2011-11-05T05:25:00Z</nc:DateTime>","nc:DateTime","http://niem.gov/niem/niem-core/2.0","niem-xsd:dateTime","itl:PackageSourceRepresentationRecord/biom:ProcessAnnotation/biom:ProcessUTCDate/nc:DateTime","","","","",""
"tx","20/ANN/NAV","[20.902-B]","B","","","NAV","Processing Algorithm Name / Version","M^","U","1","64","1","1","","","Data","","","","","","","","","","","","","","","","","Name and version of processing algorithm or workstation.","","<biom:ProcessName>Process name, v2.0</biom:ProcessName>","biom:ProcessName","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageSourceRepresentationRecord/biom:ProcessAnnotation/biom:ProcessName","","","","",""
"tx","20/ANN/OWN","[20.902-C]","C","","","OWN","Algorithm Owner","M^","U","1","64","1","1","","","Data","","","","","","","","","","","","","","","","","Organization that developed and/or maintains the processing algorithm, application, or latent workstation.","","<biom:ProcessOwnerText>Process owner</biom:ProcessOwnerText>","biom:ProcessOwnerText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageSourceRepresentationRecord/biom:ProcessAnnotation/biom:ProcessOwnerText","","","","",""
"tx","20/ANN/PRO","[20.902-D]","D","","","PRO","Process Description","M^","U","1","255","1","1","","","Data","","","","","","","","","","","","","","","","","A description of a biometric process or procedure applied to the sample in this Type-20 record.","","<biom:ProcessDescriptionText>A process description</biom:ProcessDescriptionText>","biom:ProcessDescriptionText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageSourceRepresentationRecord/biom:ProcessAnnotation/biom:ProcessDescriptionText","","","","",""
"tx","20/DUI","[20.903]","","","","DUI","Device Unique Identifier","O","ANS","13","16","0","1","ALL","","Data","","","","(M[0-9A-F]{12})|(P\S{12,15})","","","","","","","","","","","","","A string uniquely identifying the device or source of the data. This field shall be: 1) Host MAC address (up to 13 characters), identified by the first character ""M"", or 2) Host processor ID (up to 16 characters), identified by the first character ""P"".","","<nc:IdentificationID>P270NEIS67830000</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceIdentification/nc:IdentificationID
endif","","","","",""
"T","20/MMS:T","[20.904:T]","SET","3","","MMS","Make/Model/Serial Number","O","","","","0","1","","","Set_T","","","","","","","","","","","","","","","","","Make, model, and serial number for the capture device.","","","","","","","","","","",""
"T","20/MMS/MAK:T","[20.904-A:T]","A","","","MAK","Make","M^","U","1","50","1","1","","","Data_T","","","","","","","","","","","","","","","","","Make (""0"" = information is unknown).","","RGT88","","","","","","","","",""
"x","20/MMS/MAK:X","[20.904-A:X]","A","","","MAK","Make (XML)","O^","U","1","50","0","1","","","Data_X","","","","","","","","","","","","","","","","","Make (""0"" = information is unknown).","","<biom:CaptureDeviceMakeText>RGT88</biom:CaptureDeviceMakeText>","biom:CaptureDeviceMakeText","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceMakeText
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceMakeText
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceMakeText
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceMakeText or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceMakeText or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceMakeText
endif","For XML encoding, the information items are optional for field 20.904 since there exists no XML parent element to represent the field.","","","",""
"T","20/MMS/MOD:T","[20.904-B:T]","B","","","MOD","Model","M^","U","1","50","1","1","","","Data_T","","","","","","","","","","","","","","","","","Model (""0"" = information is unknown).","","PEARL","","","","","","","","",""
"x","20/MMS/MOD:X","[20.904-B:X]","B","","","MOD","Model (XML)","O^","U","1","50","0","1","","","Data_X","","","","","","","","","","","","","","","","","Model (""0"" = information is unknown).","","<biom:CaptureDeviceModelText>PEARL</biom:CaptureDeviceModelText>","biom:CaptureDeviceModelText","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceModelText
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceModelText
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceModelText
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceModelText or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceModelText or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceModelText
endif","","","","",""
"T","20/MMS/SER:T","[20.904-C:T]","C","","","SER","Serial Number","M^","U","1","50","1","1","","","Data_T","","","","","","","","","","","","","","","","","Serial number (""0"" = information is unknown).","","2838590029395784-4","","","","","","","","",""
"x","20/MMS/SER:X","[20.904-C:X]","C","","","SER","Serial Number (XML)","O^","U","1","50","0","1","","","Data_X","","","","","","","","","","","","","","","","","Serial number (""0"" = information is unknown).","","<biom:CaptureDeviceSerialNumberText>2838590029395784-4</biom:CaptureDeviceSerialNumberText>","biom:CaptureDeviceSerialNumberText","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceSerialNumberText
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceSerialNumberText
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceSerialNumberText
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureDeviceSerialNumberText or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureDeviceSerialNumberText or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureDeviceSerialNumberText
endif","","","","",""
"tx","20/SAN","[20.993]","","","","SAN","Source Agency Name","O","U","1","125","0","1","","","Data","","","","","","","","","","","","","","","","","Name of agency referenced in Field 20.004: Source agency/SRC.","","<nc:OrganizationName>AGENCY NAME</nc:OrganizationName>","nc:OrganizationName","http://niem.gov/niem/niem-core/2.0","nc:TextType","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationName
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureOrganization/nc:OrganizationName
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureOrganization/nc:OrganizationName
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationName or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureOrganization/nc:OrganizationName or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureOrganization/nc:OrganizationName
endif","","","","",""
"tx","20/EFR","[20.994]","","","","EFR","External File Reference","D","U","1","200","0","1","","","Data","","","","","","","20/DATA","","","","","","","","","Y","URL / URI or other unique reference to a storage location for all source representations, if the data is not contained in Field 20.999. It is highly recommended that the user state the format of the external file in Field 20.020 COM.","One of the two fields (20.994 or 20.999) shall be present in all instances of this record type.","<biom:SourceExternalFileReferenceText>Case 2009:1468 AV Tape 5</biom:SourceExternalFileReferenceText>","biom:SourceExternalFileReferenceText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageSourceRepresentationRecord/biom:SourceExternalFileReferenceText","","","","",""
"tx","20/ASC","[20.995]","SET","2","","ASC","Associated Context","O","","","","0","255","","","Set","","","","","","","","","","","","","","","","","Used for record types that have instances of Record Type 21 linked to it. Record Type 21 stores images and/or recordings that are not the actual source of the biometric data contained in another Record Type, but do show the context of the biometric data.","","","biom:AssociatedContext","http://niem.gov/niem/biometrics/1.0","biom:AssociatedContextType","itl:PackageSourceRepresentationRecord/biom:AssociatedContext","","","","",""
"tx","20/ASC/ACN","[20.995-A]","A","","","ACN","Associated Context Number","M^","N","1","3","1","1","","","Data","","","{1..255}","","","","","","","","","","","","","","An index (sequentially assigned positive integer starting from one and incremented by one) to a particular instance of a Type-21 record in the transaction. This same index value appears in the appropriate instance of Record Type-21 as Field 21.021.","","<nc:IdentificationID>1</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageSourceRepresentationRecord/biom:AssociatedContext/biom:ContextIdentification/nc:IdentificationID","","","","",""
"tx","20/ASC/ASP","[20.995-B]","B","","","ASP","Associated Segment Position","O^","N","1","2","0","1","","","Data","","","{1..99}","","","","","","","","","","","","","","An index to a particular set of segmentation coordinates of the associated context data. This same segmentation index value appears in Record Type-21 as Field 21.016. There may be up to 99 segments listed in Field 21.016, but only the relevant segment is contained in this information item.","","<nc:IdentificationID>99</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageSourceRepresentationRecord/biom:AssociatedContext/biom:ImageSegmentIdentification/nc:IdentificationID","","","","",""
"tx","20/HAS","[20.996]","","","","HAS","Hash","O","H","64","64","0","1","","","Data","","","","","","","","","","","","","","","","","Hash value of data in 20.999: Body part image/DATA.","","<biom:ImageHashValue>5108B86727517A02D8A28AEC62E67E05F9AE7E8913A773641D486841FDE8F941</biom:ImageHashValue>","biom:ImageHashValue","http://niem.gov/niem/biometrics/1.0","biom:ImageHashValueType","itl:PackageSourceRepresentationRecord/biom:ImageHashValue","","","","",""
"tx","20/GEO","[20.998]","SET","15","","GEO","Geographic Sample Acquisition Location","O","","","","0","1","","","Set","","","","","","","","","","","","","","","","","Location where the original source was acquired - not where it is stored. There are multiple possible formats for specifying the geographic location in this field (longitude and latitude, geographic coordinate universal transverse Mercator, and alternate coordinate systems).","","","biom:CaptureLocation","http://niem.gov/niem/biometrics/1.0","biom:CaptureLocationType","if [20/AQS/AQT] IN {1..6, 11} then    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation or  
   itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation or  
   itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation
endif","","","","",""
"T","20/GEO/UTE:T","[20.998-A:T]","A","","","UTE","Universal Time Entry","O^","AN","15","15","0","1","","","Data_T","","","","\d{14}Z","","","","","","","","","","","","","Time and date of acquisition in the format of YYYYMMDDhhmmssZ, where the Z is indicates the zone description of 0 hours. ","","20111105052500Z","","","","","","","","",""
"x","20/GEO/UTE:X","[20.998-A:X]","A","","","UTE","Universal Time Entry (XML)","O^","ANS","20","20","0","1","[-:]","","Data_X","","","","\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z","","","","","","","","","","","","","Time and date of acquisition in the format of YYYY-MM-DDThh:mm:ssZ, where the Z is indicates the zone description of 0 hours. ","","<nc:DateTime>2011-11-05T05:25:00Z</nc:DateTime>","nc:DateTime","http://niem.gov/niem/niem-core/2.0","niem-xsd:dateTime","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
endif","","","","",""
"x","20/GEO/LTD_20/GEO/GDC","[20.998-B_20.998-I]","","","","","Location Two Dimensional Geographic Coordinate","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Two dimensional geographic coordinate.","","","biom:LocationTwoDimensionalGeographicCoordinate","http://niem.gov/niem/biometrics/1.0","biom:TwoDimensionalGeographicCoordinateType","if [20/AQS/AQT] IN {1..6, 11} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
elseif [20/AQS/AQT] IN {7..10, 19..21} then
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
elseif [20/AQS/AQT] IN {12..18, 22..29} then
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
elseif [20/AQS/AQT] IN {0, 30, 31} then
    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate or 
    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate or  
    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
endif","Applies to 20.998-B, 20.998-C, 20.998-D, 20.998-E, 20.998-F, 20.998-G, and 20.998-I.","","","",""
"x","20/GEO/LTD_20/GEO/LTS","[20.998-B_20.998-D]","","","","","Geographic Coordinate Latitude","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Geographic coordinate latitude is measurement of the angular distance between a point on the earth and the equator.","","","nc:GeographicCoordinateLatitude","http://niem.gov/niem/niem-core/2.0","nc:LatitudeCoordinateType","if [20/AQS/AQT] IN {1..6, 11} then 
itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude
elseif [20/AQS/AQT] IN {7..10, 19..21} then
itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude
elseif [20/AQS/AQT] IN {12..18, 22..29} then
itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude
elseif [20/AQS/AQT] IN {0, 30, 31} then
itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude or itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude or  itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude 
endif","Applies to 20.998-B, 20.998-C, 20.998-D, 20.998-E, 20.998-F, and 20.998-G.","","","",""
"tx","20/GEO/LTD","[20.998-B]","B","","","LTD","Latitude Degree Value","D^","NS","1","9","0","1","[.-]","","Data","","","{-90..90}","","20/GEO/LGD","","","","","","","","","","","","Degree of latitude. If latitude degree is a decimal, latitude minute (20.998-C) and latitude second (20.998-D) shall not be used.","","<nc:LatitudeDegreeValue>-70</nc:LatitudeDegreeValue>","nc:LatitudeDegreeValue","http://niem.gov/niem/niem-core/2.0","nc:LatitudeDegreeType","if [20/AQS/AQT] IN {1..6, 11} then    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue
elseif [20/AQS/AQT] IN {7..10, 19..21} then    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue
elseif [20/AQS/AQT] IN {12..18, 22..29} then   itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue
elseif [20/AQS/AQT] IN {0, 30, 31} then    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue or itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue or  itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue 
endif","","","","",""
"tx","20/GEO/LTM","[20.998-C]","C","","","LTM","Latitude Minute Value","D^","NS","1","8","0","1","[.]","","Data","","","{<60}","","20/GEO/LGM","20/GEO/LTD","","","","","","","","","Y","","Minute of a degree. ","If latitude degree (20.998-B) contains a decimal, latitude minute shall be empty.","<nc:LatitudeMinuteValue>40</nc:LatitudeMinuteValue>","nc:LatitudeMinuteValue","http://niem.gov/niem/niem-core/2.0","nc:AngularMinuteType","if [20/AQS/AQT] IN {1..6, 11} then    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
elseif [20/AQS/AQT] IN {7..10, 19..21} then    itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
elseif [20/AQS/AQT] IN {12..18, 22..29} then    itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
elseif [20/AQS/AQT] IN {0, 30, 31} then    itl:PackageSourceRepresentationRecord/biom:SourceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue or itl:PackageSourceRepresentationRecord/biom:SourceVideo/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue or  itl:PackageSourceRepresentationRecord/biom:SourceAudio/biom:BiometricCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
endif","","","","",""
